attackerNum,targets,talent
49,"[49, 73, 110, 159, 234]",4
21,"[21, 72, 78, 87, 122, 141, 282]",6
7,"[7, 94, 111]",3
30,"[30, 160, 195, 257, 279]",4
26,"[26, 58, 90, 135, 173, 185, 207, 222, 225]",11
33,[33],8
5,"[5, 76]",6
43,"[43, 197, 271]",5
20,"[20, 163, 179, 281]",6
39,"[39, 131, 133, 172, 233, 237, 246, 260, 264, 275]",8
35,"[35, 83, 124, 129]",2
42,"[42, 150, 181, 191]",10
23,"[23, 63, 132, 149, 186]",6
22,"[22, 107, 161, 189, 238, 266, 286]",7
6,[6],3
3,"[3, 80, 153, 165, 178, 190]",5
2,"[2, 81, 112, 127, 208, 230, 289]",8
12,"[12, 57]",3
47,"[47, 126, 229]",2
40,"[40, 96, 100, 108]",7
4,"[4, 158, 167, 198, 259]",9
15,"[15, 204, 242]",5
11,"[11, 95, 138, 243, 253, 287]",10
1,[1],2
16,"[16, 56, 67, 71, 89, 92, 113, 116, 130, 166, 184, 200, 215, 274, 290]",11
24,"[24, 68, 205, 228, 255]",5
19,"[19, 64, 77, 88, 142, 175, 176, 187, 203, 231, 235, 244, 265, 283]",11
8,"[8, 60, 123, 155, 177, 194, 288]",1
14,"[14, 54, 84, 97, 115, 128, 183, 192, 251, 291]",1
25,"[25, 206, 216, 269]",9
27,"[27, 51, 117, 196, 219, 250]",5
29,"[29, 146, 154, 270, 277]",8
17,"[17, 59, 86, 99, 106, 226, 240, 261]",1
31,"[31, 50, 65, 79, 199, 220, 223, 227, 276]",9
13,"[13, 193, 256]",6
36,"[36, 152]",5
28,"[28, 82, 218, 245]",2
32,"[32, 55, 69, 85, 140, 174, 212]",1
48,"[48, 52, 66, 170, 188, 202, 224, 273, 285]",5
34,"[34, 147]",2
41,"[41, 62, 91, 101, 104, 118, 134, 139, 156, 169, 209, 213, 217, 236]",10
46,"[46, 105, 119, 143, 214, 239, 254, 258, 262]",11
37,"[37, 74, 136, 210, 247, 280]",6
45,"[45, 102, 114, 137, 180, 248]",7
9,"[9, 93, 103, 109, 144, 164, 171, 232, 241, 267]",11
10,"[10, 148, 151]",8
38,"[38, 125, 211, 249, 272]",3
18,"[18, 75, 121, 145, 278]",2
0,"[0, 53, 157, 162, 182, 221]",6
44,"[44, 61, 70, 98, 120, 168, 201, 252, 263, 268, 284]",3
